"heuristic","sla","exec","cost"
"1","OO","10000","139","79.415"
"2","OC","10000","74","56.385"
"3","OP","10000","53","44.485"
"4","OR","10000","80","58.905"
"5","CO","10000","81","46.515"
"6","CC","10000","59","38.99"
"7","CP","10000","58","43.54"
"8","CR","10000","55","36.96"
"9","PO","10000","49","26.32"
"10","PC","10000","62","34.65"
"11","PP","10000","102","76.79"
"12","PR","10000","63","40.25"
"13","RO","10000","87","48.02"
"14","RC","10000","51","31.36"
"15","RP","10000","65","46.69"
"16","RR","10000","49","25.025"
"17","OO","20000","109","52.675"
"18","OC","20000","67","38.395"
"19","OP","20000","55","33.985"
"20","OR","20000","71","36.61"
"21","CO","20000","75","40.88"
"22","CC","20000","66","39.69"
"23","CP","20000","71","47.25"
"24","CR","20000","77","45.675"
"25","PO","20000","59","27.58"
"26","PC","20000","109","58.835"
"27","PP","20000","156","109.27"
"28","PR","20000","87","44.625"
"29","RO","20000","68","31.01"
"30","RC","20000","71","36.155"
"31","RP","20000","73","43.295"
"32","RR","20000","70","37.625"
"33","OO","30000","66","13.825"
"34","OC","30000","49","12.88"
"35","OP","30000","58","25.06"
"36","OR","30000","51","15.435"
"37","CO","30000","53","13.16"
"38","CC","30000","71","33.39"
"39","CP","30000","91","60.095"
"40","CR","30000","64","25.41"
"41","PO","30000","56","16.765"
"42","PC","30000","132","67.2"
"43","PP","30000","195","138.355"
"44","PR","30000","98","47.775"
"45","RO","30000","52","14.14"
"46","RC","30000","65","25.935"
"47","RP","30000","137","93.835"
"48","RR","30000","61","21.805"
"49","OO","40000","55","10.78"
"50","OC","40000","45","11.2"
"51","OP","40000","52","22.19"
"52","OR","40000","46","11.795"
"53","CO","40000","44","9.905"
"54","CC","40000","55","19.635"
"55","CP","40000","97","61.18"
"56","CR","40000","43","12.39"
"57","PO","40000","51","12.95"
"58","PC","40000","122","51.415"
"59","PP","40000","207","138.67"
"60","PR","40000","104","50.015"
"61","RO","40000","43","9.52"
"62","RC","40000","75","33.145"
"63","RP","40000","126","79.31"
"64","RR","40000","63","25.865"
"65","OO","50000","42","6.685"
"66","OC","50000","38","9.03"
"67","OP","50000","48","21.0"
"68","OR","50000","43","10.045"
"69","CO","50000","33","6.475"
"70","CC","50000","54","19.425"
"71","CP","50000","97","61.425"
"72","CR","50000","52","17.64"
"73","PO","50000","47","10.395"
"74","PC","50000","126","53.48"
"75","PP","50000","201","132.37"
"76","PR","50000","103","45.255"
"77","RO","50000","36","8.05"
"78","RC","50000","65","24.465"
"79","RP","50000","98","61.53"
"80","RR","50000","57","24.57"
"81","OO","60000","35","5.32"
"82","OC","60000","35","8.12"
"83","OP","60000","45","20.335"
"84","OR","60000","34","7.98"
"85","CO","60000","32","5.88"
"86","CC","60000","52","19.985"
"87","CP","60000","75","46.795"
"88","CR","60000","46","14.35"
"89","PO","60000","40","7.56"
"90","PC","60000","125","51.94"
"91","PP","60000","202","132.3"
"92","PR","60000","109","52.605"
"93","RO","60000","32","5.845"
"94","RC","60000","60","18.27"
"95","RP","60000","86","54.11"
"96","RR","60000","43","12.95"
"97","OO","70000","30","4.375"
"98","OC","70000","33","7.595"
"99","OP","70000","44","19.95"
"100","OR","70000","34","9.03"
"101","CO","70000","30","6.195"
"102","CC","70000","58","22.155"
"103","CP","70000","87","54.005"
"104","CR","70000","50","20.16"
"105","PO","70000","43","8.715"
"106","PC","70000","103","39.025"
"107","PP","70000","174","106.68"
"108","PR","70000","82","30.625"
"109","RO","70000","33","6.685"
"110","RC","70000","59","22.295"
"111","RP","70000","93","54.985"
"112","RR","70000","49","11.9"
"113","OO","80000","32","4.445"
"114","OC","80000","33","7.525"
"115","OP","80000","44","19.88"
"116","OR","80000","29","6.405"
"117","CO","80000","29","5.985"
"118","CC","80000","56","21.735"
"119","CP","80000","86","53.795"
"120","CR","80000","37","9.205"
"121","PO","80000","38","6.615"
"122","PC","80000","103","38.955"
"123","PP","80000","174","106.61"
"124","PR","80000","90","39.48"
"125","RO","80000","31","6.475"
"126","RC","80000","69","25.06"
"127","RP","80000","100","61.88"
"128","RR","80000","31","6.685"
"129","OO","90000","24","3.22"
"130","OC","90000","28","6.72"
"131","OP","90000","40","19.215"
"132","OR","90000","30","8.435"
"133","CO","90000","25","4.06"
"134","CC","90000","53","19.985"
"135","CP","90000","87","53.865"
"136","CR","90000","61","27.685"
"137","PO","90000","35","5.53"
"138","PC","90000","102","38.395"
"139","PP","90000","177","109.13"
"140","PR","90000","63","21.945"
"141","RO","90000","24","3.255"
"142","RC","90000","51","18.445"
"143","RP","90000","87","53.9"
"144","RR","90000","51","18.445"
"145","OO","100000","21","2.87"
"146","OC","100000","26","6.44"
"147","OP","100000","38","18.935"
"148","OR","100000","26","6.475"
"149","CO","100000","22","3.535"
"150","CC","100000","49","18.725"
"151","CP","100000","86","53.76"
"152","CR","100000","32","8.4"
"153","PO","100000","34","5.04"
"154","PC","100000","103","39.69"
"155","PP","100000","188","118.44"
"156","PR","100000","87","39.235"
"157","RO","100000","22","3.045"
"158","RC","100000","51","18.9"
"159","RP","100000","100","64.015"
"160","RR","100000","43","13.93"
"161","RR10",10000,66.2,43.6275
"162","RR50",10000,65.8,43.7031
"163","RR100",10000,63.99,41.83515
"164","RR10",20000,66.2,36.358
"165","RR50",20000,69,38.7086
"166","RR100",20000,69.41,38.8248
"167","RR10",30000,63.2,26.271
"168","RR50",30000,63.38,25.928
"169","RR100",30000,63.25,25.7068
"170","RR10",40000,56.7,21.322
"171","RR50",40000,59.68,23.0328
"172","RR100",40000,59.22,22.6639
"173","RR10",50000,50.5,17.8255
"174","RR50",50000,50.18,17.8073
"175","RR100",50000,50.5,18.0439
"176","RR10",60000,43.8,14.7525
"177","RR50",60000,46.28,16.0489
"178","RR100",60000,46.94,16.5956
"179","RR10",70000,43,14.7595
"180","RR50",70000,46.14,16.6992
"181","RR100",70000,46.55,16.87665
"182","RR10",80000,48.7,16.821
"183","RR50",80000,48.5,17.626
"184","RR100",80000,47.38,16.6201
"185","RR10",90000,41.5,15.463
"186","RR50",90000,42.66,15.8235
"187","RR100",90000,44.47,16.20255
"188","RR10",100000,40.6,14.504
"189","RR50",100000,41.68,15.26
"190","RR100",100000,41.73,15.2803
